0 Unknown
1 Unknown
2 Unknown
3 Unknown
4 Unknown
5 Unknown
6 Unknown
7 Unknown
8 Unknown
9 Unknown
10 Unknown
11 Unknown
12 Unknown
13 Unknown
14 Unknown
15 Unknown
16 Unknown
17 Unknown
18 Unknown
19 Unknown
20 Unknown
21 Unknown
22 Unknown
23 Unknown
24 Unknown
25 Unknown
26 Unknown
27 Unknown
28 Unknown
670 Keratan sulfate biosynthesis
671 Keratan sulfate biosynthesis
672 Keratan sulfate biosynthesis
673 Keratan sulfate biosynthesis
674 Keratan sulfate biosynthesis
675 Keratan sulfate biosynthesis
676 Keratan sulfate biosynthesis
677 Keratan sulfate biosynthesis
678 Keratan sulfate biosynthesis
679 Keratan sulfate biosynthesis
680 Keratan sulfate biosynthesis
681 Keratan sulfate biosynthesis
682 Glycerophospholipid Metabolism
683 Glycerophospholipid Metabolism
684 Glycerophospholipid Metabolism
685 Glycerophospholipid Metabolism
686 Glycerophospholipid Metabolism
687 Glycerophospholipid Metabolism
688 Arginine and Proline Metabolism
689 Triacylglycerol Synthesis
690 Urea cycle/amino group metabolism
691 Glycerophospholipid Metabolism
692 Transport, Peroxisomal
693 Transport, Extracellular
694 Transport, Endoplasmic Reticular
695 Methionine Metabolism
696 Transport, Nuclear
697 Transport, Endoplasmic Reticular
698 Extracellular exchange
699 Extracellular exchange
700 IMP Biosynthesis
701 IMP Biosynthesis
702 Unknown
703 Citric Acid Cycle
704 Transport, Mitochondrial
705 Transport, Extracellular
706 Transport, Peroxisomal
707 Bile Acid Biosynthesis
708 Bile Acid Biosynthesis
709 Transport, Extracellular
710 Transport, Extracellular
711 Transport, Extracellular
712 Transport, Extracellular
713 Transport, Extracellular
714 Transport, Extracellular
715 Transport, Extracellular
716 Alanine and Aspartate Metabolism
717 Transport, Extracellular
718 Glycine, Serine, and Threonine Metabolism
719 Glutamate metabolism
720 Transport, Extracellular
721 Transport, Extracellular
722 Transport, Lysosomal
723 Transport, Extracellular
724 Transport, Extracellular
725 Miscellaneous
726 Pyruvate Metabolism
727 Unknown
728 Pyruvate Metabolism
729 Pyruvate Metabolism
730 Unknown
731 Tryptophan metabolism
732 Tryptophan metabolism
733 Fatty Acid Metabolism
734 Glycolysis/Gluconeogenesis
735 Glycolysis/Gluconeogenesis
736 Glycolysis/Gluconeogenesis
737 Transport, Extracellular
738 Glycerophospholipid Metabolism
739 Eicosanoid Metabolism
740 Eicosanoid Metabolism
741 Eicosanoid Metabolism
742 Eicosanoid Metabolism
743 Eicosanoid Metabolism
744 Glycine, Serine, and Threonine Metabolism
745 Pyruvate Metabolism
746 Pyruvate Metabolism
747 Tryptophan metabolism
748 Bile Acid Biosynthesis
749 Bile Acid Biosynthesis
750 Bile Acid Biosynthesis
751 Bile Acid Biosynthesis
752 Aminosugar Metabolism
753 Tryptophan metabolism
754 Transport, Endoplasmic Reticular
755 Transport, Mitochondrial
756 Transport, Nuclear
757 Nucleotides
758 Glutathione Metabolism
759 Glutathione Metabolism
760 Transport, Peroxisomal
761 Transport, Endoplasmic Reticular
762 Starch and Sucrose Metabolism
763 Starch and Sucrose Metabolism
764 Transport, Extracellular
765 Unknown
766 Transport, Extracellular
767 Transport, Endoplasmic Reticular
768 Nucleotides
769 beta-Alanine metabolism
770 Arginine and Proline Metabolism
771 Transport, Extracellular
772 Unknown
773 Pentose and Glucuronate Interconversions
774 Transport, Peroxisomal
775 Carnitine shuttle
776 Carnitine shuttle
777 Carnitine shuttle
778 Transport, Peroxisomal
779 Transport, Extracellular
780 Transport, Endoplasmic Reticular
781 Transport, Extracellular
782 Arginine and Proline Metabolism
783 Transport, Extracellular
784 Urea cycle/amino group metabolism
785 Urea cycle/amino group metabolism
786 Alanine and Aspartate Metabolism
787 Alanine and Aspartate Metabolism
788 Transport, Extracellular
789 Unknown
790 Transport, Mitochondrial
791 Sphingolipid Metabolism
792 R Group Synthesis
793 R Group Synthesis
794 R Group Synthesis
795 R Group Synthesis
796 R Group Synthesis
797 R Group Synthesis
798 R Group Synthesis
799 R Group Synthesis
800 R Group Synthesis
801 R Group Synthesis
802 R Group Synthesis
803 R Group Synthesis
804 R Group Synthesis
805 R Group Synthesis
806 R Group Synthesis
807 R Group Synthesis
808 R Group Synthesis
809 R Group Synthesis
810 R Group Synthesis
811 R Group Synthesis
812 R Group Synthesis
813 R Group Synthesis
814 R Group Synthesis
815 R Group Synthesis
816 R Group Synthesis
817 R Group Synthesis
818 R Group Synthesis
819 R Group Synthesis
820 R Group Synthesis
821 R Group Synthesis
822 R Group Synthesis
823 R Group Synthesis
824 R Group Synthesis
825 R Group Synthesis
826 R Group Synthesis
827 Sphingolipid Metabolism
828 Ascorbate and Aldarate Metabolism
829 Transport, Extracellular
830 Transport, Extracellular
831 Transport, Extracellular
832 Transport, Extracellular
833 Transport, Extracellular
834 Alanine and Aspartate Metabolism
835 Alanine and Aspartate Metabolism
836 Transport, Extracellular
837 Transport, Extracellular
838 Transport, Extracellular
839 Transport, Extracellular
840 Transport, Mitochondrial
841 Pyrimidine Biosynthesis
842 Transport, Extracellular
843 Transport, Peroxisomal
844 Transport, Mitochondrial
845 Alanine and Aspartate Metabolism
846 Alanine and Aspartate Metabolism
847 Transport, Extracellular
848 Transport, Endoplasmic Reticular
849 Transport, Endoplasmic Reticular
850 Nucleotides
851 Nucleotides
852 Oxidative Phosphorylation
853 Transport, Lysosomal
854 Transport, Mitochondrial
855 Transport, Nuclear
856 Transport, Peroxisomal
857 Transport, Extracellular
858 Transport, Extracellular
859 N-Glycan Degradation
860 N-Glycan Degradation
861 Unknown
862 Sphingolipid Metabolism
863 Sphingolipid Metabolism
864 Sphingolipid Metabolism
865 Sphingolipid Metabolism
866 Sphingolipid Metabolism
867 Blood Group Biosynthesis
868 Blood Group Biosynthesis
869 Blood Group Biosynthesis
870 Transport, Extracellular
871 Transport, Mitochondrial
872 beta-Alanine metabolism
873 beta-Alanine metabolism
874 Lysine Metabolism
875 Butanoate Metabolism
876 N-Glycan Biosynthesis
877 N-Glycan Biosynthesis
878 Glycine, Serine, and Threonine Metabolism
879 Glycine, Serine, and Threonine Metabolism
880 Transport, Extracellular
881 Transport, Mitochondrial
882 Transport, Extracellular
883 Transport, Extracellular
884 Transport, Endoplasmic Reticular
885 Transport, Extracellular
886 Transport, Extracellular
887 Transport, Endoplasmic Reticular
888 Heme Degradation
889 Transport, Extracellular
890 Transport, Endoplasmic Reticular
891 Transport, Nuclear
892 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
893 Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
894 Nucleotides
895 Nucleotides
896 Biotin Metabolism
897 Biotin Metabolism
898 Biotin Metabolism
899 Biotin Metabolism
900 Biotin Metabolism
901 Biotin Metabolism
902 Unknown
903 Transport, Mitochondrial
904 Transport, Extracellular
905 Transport, Extracellular
906 Transport, Nuclear
907 Transport, Mitochondrial
908 Transport, Extracellular
909 Transport, Extracellular
910 Transport, Extracellular
911 Transport, Endoplasmic Reticular
912 N-Glycan Degradation
913 Cholesterol Metabolism
914 Carnitine shuttle
915 Carnitine shuttle
916 Carnitine shuttle
917 Carnitine shuttle
918 Carnitine shuttle
919 Carnitine shuttle
920 Carnitine shuttle
921 Carnitine shuttle
922 Carnitine shuttle
923 Carnitine shuttle
924 Carnitine shuttle
925 Carnitine shuttle
926 Carnitine shuttle
927 Carnitine shuttle
928 Carnitine shuttle
929 Carnitine shuttle
930 Carnitine shuttle
931 Carnitine shuttle
932 Transport, Peroxisomal
933 Carnitine shuttle
934 Carnitine shuttle
935 Carnitine shuttle
936 Limonene and pinene degradation
937 Limonene and pinene degradation
938 Cholesterol Metabolism
939 Cholesterol Metabolism
940 Cholesterol Metabolism
941 Cholesterol Metabolism
942 Cholesterol Metabolism
943 Cholesterol Metabolism
944 Transport, Extracellular
945 Transport, Extracellular
946 Glycolysis/Gluconeogenesis
947 ROS Detoxification
948 Miscellaneous
949 Transport, Extracellular
950 Vitamin B12 Metabolism
951 Transport, Mitochondrial
952 Vitamin B12 Metabolism
953 Glycolysis/Gluconeogenesis
954 Pyrimidine Biosynthesis
955 Glutamate metabolism
956 Transport, Endoplasmic Reticular
957 Eicosanoid Metabolism
958 Eicosanoid Metabolism
959 Transport, Extracellular
960 Glycerophospholipid Metabolism
961 Transport, Mitochondrial
962 Glycerophospholipid Metabolism
963 Glycerophospholipid Metabolism
964 Glycerophospholipid Metabolism
965 Glycerophospholipid Metabolism
966 Sphingolipid Metabolism
967 Transport, Golgi Apparatus
968 Transport, Endoplasmic Reticular
969 Transport, Golgi Apparatus
970 Transport, Endoplasmic Reticular
971 Unknown
972 Transport, Extracellular
973 Glycerophospholipid Metabolism
974 Glycerophospholipid Metabolism
975 Transport, Mitochondrial
976 Transport, Extracellular
977 Transport, Extracellular
978 Glycine, Serine, and Threonine Metabolism
979 Glycerophospholipid Metabolism
980 Transport, Golgi Apparatus
981 Transport, Lysosomal
982 Transport, Extracellular
983 Transport, Golgi Apparatus
984 Transport, Nuclear
985 Transport, Endoplasmic Reticular
986 Transport, Extracellular
987 Steroid Metabolism
988 Transport, Extracellular
989 Transport, Mitochondrial
990 Transport, Mitochondrial
991 Transport, Mitochondrial
992 Transport, Golgi Apparatus
993 Aminosugar Metabolism
994 Aminosugar Metabolism
995 Citric Acid Cycle
996 Transport, Mitochondrial
997 Transport, Extracellular
998 Transport, Extracellular
999 Transport, Mitochondrial
1000 Transport, Mitochondrial
1001 Urea cycle/amino group metabolism
1002 Urea cycle/amino group metabolism
1003 Transport, Extracellular
1004 Transport, Extracellular
1005 Transport, Extracellular
1006 Transport, Extracellular
1007 Transport, Extracellular
1008 Transport, Extracellular
1009 Transport, Extracellular
1010 Transport, Peroxisomal
1011 Carnitine shuttle
1012 Carnitine shuttle
1013 Carnitine shuttle
1014 Transport, Extracellular
1015 Glycerophospholipid Metabolism
1016 Transport, Golgi Apparatus
1017 Transport, Nuclear
1018 Unknown
1019 Aminosugar Metabolism
1020 Transport, Extracellular
1021 Transport, Endoplasmic Reticular
1022 Transport, Golgi Apparatus
1023 Transport, Mitochondrial
1024 Transport, Nuclear
1025 Transport, Peroxisomal
1026 Unknown
1027 Transport, Lysosomal
1028 Transport, Mitochondrial
1029 Transport, Nuclear
1030 Transport, Peroxisomal
1031 Transport, Endoplasmic Reticular
1032 Alkaloid biosynthesis II
1033 Ubiquinone Biosynthesis
1034 Ubiquinone Biosynthesis
1035 Ubiquinone Biosynthesis
1036 Ubiquinone Biosynthesis
1037 O-Glycan Biosynthesis
1038 O-Glycan Biosynthesis
1039 Ubiquinone Biosynthesis
1040 Transport, Extracellular
1041 Transport, Extracellular
1042 Glycerophospholipid Metabolism
1043 Heme Biosynthesis
1044 Unknown
1045 Urea cycle/amino group metabolism
1046 Transport, Extracellular
1047 Transport, Peroxisomal
1048 Transport, Peroxisomal
1049 Transport, Extracellular
1050 Transport, Extracellular
1051 Transport, Mitochondrial
1052 Unknown
1053 Transport, Extracellular
1054 Transport, Peroxisomal
1055 Unknown
1056 Transport, Mitochondrial
1057 Transport, Endoplasmic Reticular
1058 Unknown
1059 Transport, Mitochondrial
1060 Transport, Endoplasmic Reticular
1061 Transport, Extracellular
1062 Unknown
1063 Carnitine shuttle
1064 Fatty Acid Metabolism
1065 Carnitine shuttle
1066 Fatty Acid Metabolism
1067 Fatty Acid Metabolism
1068 Fatty Acid Metabolism
1069 Carnitine shuttle
1070 Transport, Extracellular
1071 Transport, Extracellular
1072 Transport, Lysosomal
